<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus.Gold.Com.ETF,20220820,91300.00,92000.00,91000.00,91500.00,285005212315,3114827,2505,D,93936.00,91401.00
Lotus.Gold.Com.ETF,20220817,95000.00,95000.00,93400.00,93936.00,282943283005,3012084,2700,D,96865.00,93800.00
Lotus.Gold.Com.ETF,20220816,97003.00,97400.00,96250.00,96865.00,198864526118,2053017,2031,D,97005.00,96881.00
Lotus.Gold.Com.ETF,20220815,97600.00,98300.00,96400.00,97005.00,389781863372,4018155,2572,D,98166.00,96539.00
Lotus.Gold.Com.ETF,20220814,98520.00,98888.00,97310.00,98166.00,179181939837,1825299,2457,D,100331.00,98821.00
Lotus.Gold.Com.ETF,20220813,101200.00,101500.00,98819.00,100331.00,433609278938,4321767,3793,D,102879.00,99655.00
Lotus.Gold.Com.ETF,20220810,103025.00,103555.00,102302.00,102879.00,165498332611,1608674,1617,D,103949.00,103131.00
Lotus.Gold.Com.ETF,20220809,104400.00,104439.00,103350.00,103949.00,111166342473,1069433,1612,D,103364.00,103350.00
Lotus.Gold.Com.ETF,20220806,103600.00,103860.00,102050.00,103364.00,216438282529,2093936,2138,D,104393.00,103404.00
Lotus.Gold.Com.ETF,20220803,104497.00,104810.00,103790.00,104393.00,215044331987,2059952,1808,D,105022.00,104350.00
Lotus.Gold.Com.ETF,20220802,105200.00,105222.00,104730.00,105022.00,150648358709,1434444,843,D,105061.00,105017.00
Lotus.Gold.Com.ETF,20220801,105620.00,105620.00,104624.00,105061.00,252228173167,2400767,994,D,105779.00,105139.00
Lotus.Gold.Com.ETF,20220731,105746.00,105900.00,105600.00,105779.00,725989909502,6863300,1046,D,105803.00,105779.00
Lotus.Gold.Com.ETF,20220730,105801.00,106100.00,105560.00,105803.00,1010489664448,9550693,1531,D,105247.00,105779.00
Lotus.Gold.Com.ETF,20220727,105392.00,105500.00,104960.00,105247.00,74747978108,710218,1035,D,105446.00,105240.00
Lotus.Gold.Com.ETF,20220726,105020.00,105700.00,105020.00,105446.00,170799599367,1619778,1002,D,105002.00,105370.00
Lotus.Gold.Com.ETF,20220725,105780.00,105780.00,104800.00,105002.00,97902236638,932388,1088,D,105678.00,104978.00
Lotus.Gold.Com.ETF,20220724,105490.00,105800.00,104901.00,105678.00,438786823667,4152100,1219,D,104722.00,105700.00
Lotus.Gold.Com.ETF,20220723,104900.00,105998.00,104503.00,104722.00,1224794194574,11695703,1870,D,104073.00,105501.00
Lotus.Gold.Com.ETF,20220720,104060.00,104450.00,103700.00,104073.00,495964288974,4765553,1156,D,104132.00,104320.00
Lotus.Gold.Com.ETF,20220719,104300.00,104500.00,104012.00,104132.00,248050804980,2382075,1249,D,104704.00,104190.00
Lotus.Gold.Com.ETF,20220717,105500.00,105500.00,104501.00,104704.00,278436306482,2659280,1582,D,105987.00,104587.00
Lotus.Gold.Com.ETF,20220716,105330.00,106350.00,105330.00,105987.00,425137715424,4011237,1797,D,104976.00,106070.00
Lotus.Gold.Com.ETF,20220713,105000.00,105370.00,104820.00,104976.00,93145397769,887305,1101,D,105361.00,105330.00
Lotus.Gold.Com.ETF,20220712,105992.00,105992.00,104600.00,105361.00,136632560008,1296805,1065,D,106022.00,105373.00
Lotus.Gold.Com.ETF,20220711,105901.00,106297.00,105600.00,106022.00,158785858861,1497673,1384,D,105037.00,106079.00
Lotus.Gold.Com.ETF,20220709,105110.00,105458.00,103800.00,105037.00,105882889838,1008055,1462,D,105980.00,105240.00
Lotus.Gold.Com.ETF,20220706,105514.00,106700.00,105000.00,105980.00,331960654657,3132298,2315,D,106411.00,105779.00
Lotus.Gold.Com.ETF,20220705,105470.00,106988.00,105470.00,106411.00,417090094047,3919627,2113,D,104206.00,106860.00
Lotus.Gold.Com.ETF,20220704,104490.00,105269.00,103250.00,104206.00,407191169104,3907558,3685,D,107988.00,104683.00
Lotus.Gold.Com.ETF,20220703,107900.00,108900.00,107010.00,107988.00,543553214592,5033460,3520,D,107890.00,107260.00
Lotus.Gold.Com.ETF,20220702,109990.00,110010.00,105000.00,107890.00,1935109566539,17935983,6530,D,101034.00,108769.00
Lotus.Gold.Com.ETF,20220629,100500.00,101599.00,100500.00,101034.00,383862098204,3799347,1909,D,100368.00,101500.00
Lotus.Gold.Com.ETF,20220628,100300.00,100550.00,100050.00,100368.00,367151953152,3658069,1897,D,99783.00,100400.00
Lotus.Gold.Com.ETF,20220627,100990.00,100990.00,99136.00,99783.00,464955783561,4659673,3895,D,102898.00,100140.00
Lotus.Gold.Com.ETF,20220626,105787.00,105787.00,101740.00,102898.00,566654909052,5506971,3988,D,108243.00,102041.00
Lotus.Gold.Com.ETF,20220625,109991.00,109991.00,106780.00,108243.00,450896275212,4165581,4005,D,111520.00,106851.00
Lotus.Gold.Com.ETF,20220622,111200.00,111980.00,111000.00,111520.00,339813595244,3047105,2145,D,110129.00,111775.00
Lotus.Gold.Com.ETF,20220621,108927.00,111100.00,108823.00,110129.00,320182793688,2907348,2574,D,108777.00,110660.00
Lotus.Gold.Com.ETF,20220620,108521.00,109300.00,108000.00,108777.00,269768689288,2480016,2872,D,110561.00,108700.00
Lotus.Gold.Com.ETF,20220619,110990.00,111770.00,108850.00,110561.00,391397000126,3540093,4693,D,110226.00,109500.00
Lotus.Gold.Com.ETF,20220618,107499.00,112200.00,106556.00,110226.00,691195252586,6270688,5315,D,107122.00,110950.00
Lotus.Gold.Com.ETF,20220615,107900.00,108000.00,106421.00,107122.00,460659696417,4300330,4935,D,109692.00,106460.00
Lotus.Gold.Com.ETF,20220614,109000.00,111500.00,108520.00,109692.00,608665608222,5548879,5253,D,112369.00,109764.00
Lotus.Gold.Com.ETF,20220613,117002.00,117500.00,110000.00,112369.00,1073058361303,9549447,10350,D,114944.00,111118.00
Lotus.Gold.Com.ETF,20220612,112600.00,118099.00,111150.00,114944.00,1544871232038,13440258,9401,D,110185.00,117650.00
Lotus.Gold.Com.ETF,20220611,107990.00,112494.00,107990.00,110185.00,1139529472795,10342008,6310,D,106532.00,112000.00
Lotus.Gold.Com.ETF,20220608,106050.00,107500.00,105300.00,106532.00,558858249357,5245900,3857,D,105113.00,106500.00
Lotus.Gold.Com.ETF,20220607,104380.00,106149.00,103860.00,105113.00,352378804005,3352391,3790,D,104255.00,105714.00
Lotus.Gold.Com.ETF,20220606,106000.00,106100.00,103700.00,104255.00,336727162968,3229830,3527,D,106116.00,103852.00
Lotus.Gold.Com.ETF,20220601,106380.00,107190.00,104850.00,106116.00,444993887009,4193453,3396,D,107326.00,105890.00
Lotus.Gold.Com.ETF,20220531,109680.00,109680.00,105556.00,107326.00,674259948701,6282381,4902,D,106973.00,106011.00
Lotus.Gold.Com.ETF,20220530,107400.00,108470.00,106396.00,106973.00,693418507157,6482181,3652,D,104763.00,108190.00
Lotus.Gold.Com.ETF,20220529,104050.00,106000.00,103611.00,104763.00,344794893404,3291184,2303,D,103460.00,105965.00
Lotus.Gold.Com.ETF,20220528,102820.00,104500.00,102330.00,103460.00,541258875031,5231562,3128,D,102521.00,103999.00
Lotus.Gold.Com.ETF,20220525,102990.00,102990.00,102320.00,102521.00,62078612667,605521,1269,D,102443.00,102333.00
Lotus.Gold.Com.ETF,20220524,102004.00,102648.00,102000.00,102443.00,245166075356,2393193,1637,D,100675.00,102204.00
Lotus.Gold.Com.ETF,20220523,101500.00,101500.00,99800.00,100675.00,161763399168,1606796,1839,D,101852.00,101280.00
Lotus.Gold.Com.ETF,20220522,101401.00,102272.00,101137.00,101852.00,248620255615,2441006,2034,D,100422.00,101850.00
Lotus.Gold.Com.ETF,20220521,99510.00,101000.00,99510.00,100422.00,268994809133,2678650,2208,D,98003.00,100358.00
Lotus.Gold.Com.ETF,20220518,97700.00,98950.00,97100.00,98003.00,150640905442,1537102,1432,D,99353.00,98900.00
Lotus.Gold.Com.ETF,20220517,100330.00,100619.00,98710.00,99353.00,131284169814,1321386,1700,D,100184.00,99280.00
Lotus.Gold.Com.ETF,20220516,101000.00,101000.00,99571.00,100184.00,153128322946,1528467,1733,D,99771.00,100330.00
Lotus.Gold.Com.ETF,20220515,98300.00,101079.00,98110.00,99771.00,274796482571,2754281,2014,D,98613.00,100950.00
Lotus.Gold.Com.ETF,20220514,99100.00,99140.00,98000.00,98613.00,425394170134,4313772,2743,D,97310.00,98050.00
Lotus.Gold.Com.ETF,20220511,96250.00,98509.00,96250.00,97310.00,591617396170,6079725,3014,D,95149.00,98449.00
Lotus.Gold.Com.ETF,20220510,94611.00,95988.00,94481.00,95149.00,300399292542,3157144,1572,D,94442.00,95950.00
Lotus.Gold.Com.ETF,20220509,94500.00,94650.00,94205.00,94442.00,53974008916,571506,688,D,94596.00,94356.00
Lotus.Gold.Com.ETF,20220508,95300.00,95300.00,94300.00,94596.00,99789867181,1054909,1204,D,94259.00,94304.00
Lotus.Gold.Com.ETF,20220507,94011.00,95279.00,93000.00,94259.00,406167787421,4309061,1879,D,92687.00,95119.00
Lotus.Gold.Com.ETF,20220502,93000.00,93000.00,92413.00,92687.00,23753072821,256273,480,D,92798.00,92770.00
Lotus.Gold.Com.ETF,20220501,93100.00,93100.00,92600.00,92798.00,61142096165,658870,831,D,92770.00,92800.00
Lotus.Gold.Com.ETF,20220430,92412.00,93050.00,92412.00,92770.00,47320091059,510080,816,D,92760.00,92918.00
Lotus.Gold.Com.ETF,20220427,92700.00,93140.00,92201.00,92760.00,67882575127,731805,1012,D,92084.00,92412.00
Lotus.Gold.Com.ETF,20220426,91890.00,92900.00,91210.00,92084.00,103382532119,1122699,1092,D,91747.00,92859.00
Lotus.Gold.Com.ETF,20220425,92050.00,92150.00,91510.00,91747.00,43575814907,474958,949,D,92379.00,91588.00
Lotus.Gold.Com.ETF,20220424,92200.00,92700.00,92182.00,92379.00,115034745896,1245242,868,D,92387.00,92351.00
Lotus.Gold.Com.ETF,20220420,92501.00,92998.00,91600.00,92387.00,84118593538,910504,869,D,92810.00,92899.00
Lotus.Gold.Com.ETF,20220419,92750.00,93405.00,92600.00,92810.00,67597942729,728346,889,D,93663.00,92722.00
Lotus.Gold.Com.ETF,20220418,93735.00,93950.00,93400.00,93663.00,107104527697,1143512,1226,D,93235.00,93869.00
Lotus.Gold.Com.ETF,20220417,93200.00,93550.00,92889.00,93235.00,163618098396,1754899,1283,D,91688.00,93148.00
Lotus.Gold.Com.ETF,20220416,90480.00,92680.00,90022.00,91688.00,95729503579,1044078,1292,D,90702.00,92200.00
Lotus.Gold.Com.ETF,20220413,91798.00,91798.00,90049.00,90702.00,231029622804,2547127,1901,D,93157.00,91199.00
Lotus.Gold.Com.ETF,20220412,94700.00,94700.00,91700.00,93157.00,242557524848,2603742,1917,D,93682.00,91800.00
