<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20231031,133000.00,133000.00,132500.00,132727.00,50702185298,382003,463,D,131637.00,132610.00
Kian.Gold.ETF,20231030,131100.00,132469.00,131000.00,131637.00,38140051388,289737,471,D,132823.00,132250.00
Kian.Gold.ETF,20231029,133999.00,133999.00,132200.00,132823.00,126584328836,953028,892,D,135600.00,132200.00
Kian.Gold.ETF,20231028,135300.00,136960.00,134751.00,135600.00,256840076511,1894097,1526,D,130980.00,135300.00
Kian.Gold.ETF,20231025,131395.00,131499.00,130425.00,130980.00,188662825319,1440398,1028,D,130479.00,131339.00
Kian.Gold.ETF,20231024,131396.00,131396.00,130003.00,130479.00,350756472269,2688220,478,D,130873.00,130400.00
Kian.Gold.ETF,20231023,131100.00,131899.00,130411.00,130873.00,34477153202,263440,483,D,130664.00,131001.00
Kian.Gold.ETF,20231022,129599.00,131494.00,129599.00,130664.00,60093723445,459912,520,D,130653.00,131116.00
Kian.Gold.ETF,20231021,130520.00,131500.00,130000.00,130653.00,50981535115,390206,524,D,131998.00,130259.00
Kian.Gold.ETF,20231018,132000.00,132950.00,131300.00,131998.00,73521232611,556987,612,D,129015.00,131910.00
Kian.Gold.ETF,20231017,127809.00,129979.00,127401.00,129015.00,81025657859,628034,581,D,127679.00,129746.00
Kian.Gold.ETF,20231016,128660.00,128660.00,127011.00,127679.00,79431440658,622120,592,D,129832.00,127800.00
Kian.Gold.ETF,20231015,130869.00,130869.00,129105.00,129832.00,40160099133,309324,388,D,130895.00,129813.00
Kian.Gold.ETF,20231014,130510.00,132500.00,130160.00,130895.00,157272271446,1201515,834,D,128846.00,130300.00
Kian.Gold.ETF,20231011,127509.00,130000.00,127508.00,128846.00,480191650546,3726874,917,D,129367.00,128665.00
Kian.Gold.ETF,20231010,132999.00,134000.00,127400.00,129367.00,445438087979,3443210,1692,D,135200.00,127509.00
Kian.Gold.ETF,20231009,135000.00,137800.00,133170.00,135200.00,443455359344,3279983,2019,D,131637.00,136340.00
Kian.Gold.ETF,20231008,131000.00,133000.00,129500.00,131637.00,400101192509,3039433,1767,D,122974.00,132149.00
