<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
"435,750","435,250","435,890","435,370",200,0.05%,2023-02-05,1401/11/16
"436,260","435,540","436,360","435,570",530,0.12%,2023-02-04,1401/11/15
"436,050","435,810","436,370","436,100",340,0.08%,2023-02-01,1401/11/12
"437,070","425,880","438,090","436,440",850,0.19%,2023-01-31,1401/11/11
"435,880","433,310","438,900","437,290",730,0.17%,2023-01-30,1401/11/10
"439,400","433,810","440,900","436,560",2250,0.52%,2023-01-29,1401/11/09
"436,480","432,800","439,800","438,810",1680,0.38%,2023-01-28,1401/11/08
"431,360","419,350","440,100","437,130",12790,3.01%,2023-01-27,1401/11/07
"419,450","417,300","426,100","424,340",3700,0.88%,2023-01-25,1401/11/05
"414,310","411,420","425,600","420,640",4360,1.04%,2023-01-24,1401/11/04
"431,820","419,300","432,600","425,000",7000,1.65%,2023-01-23,1401/11/03
"433,450","431,800","447,600","432,000",12320,2.85%,2023-01-22,1401/11/02
"431,590","424,810","444,100","444,320",14290,3.32%,2023-01-21,1401/11/01
"422,330","422,100","440,400","430,030",10000,2.38%,2023-01-20,1401/10/30
"419,240","418,210","422,400","420,030",3210,0.76%,2023-01-18,1401/10/28
"411,290","411,100","423,600","423,240",12850,3.13%,2023-01-17,1401/10/27
"406,630","406,170","410,600","410,390",7540,1.87%,2023-01-16,1401/10/26
"400,850","400,560","402,900","402,850",1460,0.36%,2023-01-15,1401/10/25
"402,360","400,500","402,800","401,390",1260,0.31%,2023-01-14,1401/10/24
"402,860","401,300","403,400","402,650",2490,0.62%,2023-01-13,1401/10/23
"405,080","403,800","406,000","405,140",400,0.10%,2023-01-11,1401/10/21
"401,810","400,300","404,900","404,740",2740,0.68%,2023-01-10,1401/10/20
"403,480","395,000","404,100","400,410",2410,0.60%,2023-01-08,1401/10/18
"404,830","400,500","407,370","402,820",1380,0.34%,2023-01-07,1401/10/17
"396,750","396,020","402,100","401,440",6610,1.67%,2023-01-06,1401/10/16
"394,830","394,830","394,830","394,830",-,-,2023-01-05,1401/10/15
"387,530","387,390","395,100","394,830",3410,0.87%,2023-01-04,1401/10/14
"387,060","386,820","395,100","391,420",6110,1.56%,2023-01-03,1401/10/13
"387,530","374,520","387,590","397,530",9940,2.56%,2023-01-02,1401/10/12
